hospital,department,day_of_week,hour,month,is_weekend,is_festival,temperature,is_rainy,patient_count,wait_time_minutes
General Hospital Kollam,Cardiology,Thursday,15,5,0,0,34.0,0,57,27
Taluk Hospital Thrissur,Paediatrics,Wednesday,15,11,0,0,37.3,0,51,18
General Hospital Kollam,Paediatrics,Monday,9,5,0,0,31.0,0,90,38
General Hospital Kollam,General OPD,Saturday,8,2,1,0,33.5,0,46,14
Taluk Hospital Thrissur,Orthopaedics,Tuesday,12,10,0,0,25.3,0,24,10
Taluk Hospital Thrissur,Paediatrics,Thursday,11,5,0,0,31.0,0,82,27
District Hospital Ernakulam,Gynaecology,Friday,8,1,0,0,36.3,0,27,11
District Hospital Ernakulam,Paediatrics,Thursday,15,1,0,0,26.5,0,62,26
District Hospital Ernakulam,Cardiology,Thursday,14,3,0,0,34.0,0,51,26
Taluk Hospital Thrissur,Paediatrics,Saturday,16,11,1,0,32.0,0,65,24
General Hospital Kollam,Gynaecology,Monday,14,5,0,0,32.3,0,44,19
District Hospital Ernakulam,Orthopaedics,Wednesday,8,1,0,0,24.6,0,73,27
Taluk Hospital Thrissur,Gynaecology,Monday,13,7,0,0,30.0,0,46,18
Taluk Hospital Thrissur,Cardiology,Tuesday,11,11,0,0,32.3,0,108,54
District Hospital Ernakulam,General OPD,Wednesday,10,1,0,0,28.6,0,79,27
District Hospital Ernakulam,Gynaecology,Friday,14,5,0,0,33.7,0,57,19
District Hospital Ernakulam,Paediatrics,Friday,14,6,0,0,25.4,1,74,29
District Hospital Ernakulam,Paediatrics,Friday,13,3,0,0,28.2,0,47,15
Taluk Hospital Thrissur,General OPD,Friday,11,5,0,0,24.7,0,86,27
General Hospital Kollam,Gynaecology,Saturday,9,12,1,0,32.1,0,102,41
General Hospital Kollam,Gynaecology,Friday,15,7,0,0,28.9,1,82,32
District Hospital Ernakulam,Paediatrics,Saturday,16,6,1,0,29.8,1,77,27
Taluk Hospital Thrissur,Cardiology,Monday,16,3,0,0,31.0,0,62,34
Taluk Hospital Thrissur,Paediatrics,Wednesday,16,10,0,0,34.8,0,47,20
Taluk Hospital Thrissur,General OPD,Friday,11,6,0,0,26.1,1,103,37
District Hospital Ernakulam,Paediatrics,Wednesday,9,11,0,0,35.8,0,67,27
Taluk Hospital Thrissur,Cardiology,Wednesday,17,4,0,0,27.3,0,29,11
General Hospital Kollam,Orthopaedics,Thursday,15,9,0,0,29.9,0,32,11
General Hospital Kollam,General OPD,Wednesday,12,11,0,0,26.5,0,74,20
Taluk Hospital Thrissur,Paediatrics,Monday,8,2,0,0,32.4,0,75,22
District Hospital Ernakulam,Orthopaedics,Saturday,9,7,1,0,34.1,1,82,33
Taluk Hospital Thrissur,General OPD,Friday,17,9,0,0,31.0,1,68,19
District Hospital Ernakulam,Orthopaedics,Friday,14,12,0,0,27.3,0,47,16
General Hospital Kollam,Cardiology,Tuesday,12,8,0,0,27.6,1,61,28
Taluk Hospital Thrissur,General OPD,Wednesday,16,7,0,0,33.6,0,76,28
General Hospital Kollam,Orthopaedics,Thursday,13,5,0,0,33.0,0,77,32
Taluk Hospital Thrissur,General OPD,Saturday,11,5,1,0,29.4,0,105,41
District Hospital Ernakulam,General OPD,Friday,11,8,0,0,24.1,0,109,43
District Hospital Ernakulam,Orthopaedics,Monday,11,5,0,0,36.0,0,60,27
Taluk Hospital Thrissur,Orthopaedics,Saturday,14,1,1,0,36.1,0,87,38
District Hospital Ernakulam,Paediatrics,Saturday,14,6,1,0,29.9,0,41,16
Taluk Hospital Thrissur,Orthopaedics,Friday,9,6,0,0,32.4,0,97,36
Taluk Hospital Thrissur,General OPD,Monday,10,11,0,1,35.1,0,78,20
General Hospital Kollam,Orthopaedics,Wednesday,17,2,0,0,26.2,0,53,23
Taluk Hospital Thrissur,Cardiology,Friday,14,6,0,0,30.7,0,36,14
Taluk Hospital Thrissur,Orthopaedics,Wednesday,11,2,0,0,29.1,0,75,34
Taluk Hospital Thrissur,Cardiology,Monday,8,9,0,0,32.6,1,35,19
General Hospital Kollam,Orthopaedics,Saturday,10,1,1,0,32.7,0,103,37
General Hospital Kollam,Orthopaedics,Tuesday,17,2,0,0,34.1,0,47,20
District Hospital Ernakulam,Paediatrics,Monday,11,12,0,0,26.7,0,105,43
District Hospital Ernakulam,Orthopaedics,Saturday,15,7,1,0,30.0,1,58,27
District Hospital Ernakulam,Cardiology,Thursday,10,7,0,0,26.0,1,76,31
District Hospital Ernakulam,Cardiology,Wednesday,17,11,0,0,30.4,0,20,9
District Hospital Ernakulam,Paediatrics,Saturday,11,12,1,0,33.9,0,112,42
General Hospital Kollam,General OPD,Friday,8,1,0,0,37.0,0,50,19
Taluk Hospital Thrissur,Gynaecology,Saturday,8,1,1,0,31.1,0,59,23
District Hospital Ernakulam,Orthopaedics,Tuesday,16,1,0,0,26.5,0,30,12
District Hospital Ernakulam,Paediatrics,Tuesday,9,6,0,0,31.4,1,67,22
General Hospital Kollam,Paediatrics,Wednesday,13,7,0,0,36.6,1,83,33
District Hospital Ernakulam,Gynaecology,Wednesday,14,3,0,0,34.3,0,51,24
General Hospital Kollam,Gynaecology,Saturday,15,1,1,0,26.1,0,49,18
District Hospital Ernakulam,Orthopaedics,Tuesday,15,7,0,0,37.9,0,22,8
Taluk Hospital Thrissur,Gynaecology,Thursday,15,8,0,0,35.8,0,27,10
General Hospital Kollam,Orthopaedics,Tuesday,10,12,0,0,35.5,0,86,39
Taluk Hospital Thrissur,Cardiology,Friday,8,9,0,0,32.0,1,34,14
District Hospital Ernakulam,General OPD,Wednesday,8,5,0,0,37.7,0,27,8
Taluk Hospital Thrissur,General OPD,Wednesday,10,1,0,0,30.4,0,95,33
District Hospital Ernakulam,Orthopaedics,Friday,8,6,0,0,33.2,0,40,18
Taluk Hospital Thrissur,Gynaecology,Tuesday,11,1,0,1,33.0,0,90,43
Taluk Hospital Thrissur,General OPD,Friday,17,7,0,0,29.6,1,79,30
General Hospital Kollam,General OPD,Tuesday,10,7,0,0,29.6,0,91,26
District Hospital Ernakulam,Paediatrics,Thursday,12,11,0,0,25.8,0,62,19
District Hospital Ernakulam,Gynaecology,Tuesday,15,8,0,0,30.7,1,57,20
District Hospital Ernakulam,Orthopaedics,Friday,10,7,0,0,30.0,1,81,38
Taluk Hospital Thrissur,Cardiology,Saturday,10,8,1,0,32.8,1,93,42
General Hospital Kollam,Paediatrics,Wednesday,10,3,0,0,36.6,0,103,33
District Hospital Ernakulam,Orthopaedics,Friday,8,9,0,0,36.8,1,62,24
General Hospital Kollam,Paediatrics,Saturday,17,5,1,0,27.6,0,40,16
General Hospital Kollam,General OPD,Saturday,15,3,1,0,26.6,0,60,16
District Hospital Ernakulam,Orthopaedics,Wednesday,17,12,0,0,34.6,0,48,20
District Hospital Ernakulam,Orthopaedics,Tuesday,11,3,0,0,34.5,0,88,31
Taluk Hospital Thrissur,General OPD,Thursday,16,1,0,0,29.5,0,20,5
District Hospital Ernakulam,Paediatrics,Saturday,14,11,1,0,32.4,0,66,22
Taluk Hospital Thrissur,Orthopaedics,Saturday,14,5,1,0,25.8,0,35,12
General Hospital Kollam,Cardiology,Monday,11,8,0,0,26.0,1,113,55
Taluk Hospital Thrissur,Cardiology,Monday,12,8,0,0,30.6,1,40,21
Taluk Hospital Thrissur,Paediatrics,Thursday,15,1,0,0,30.3,0,35,11
Taluk Hospital Thrissur,Paediatrics,Monday,13,1,0,0,32.8,0,65,23
District Hospital Ernakulam,Paediatrics,Saturday,17,10,1,0,31.8,0,53,15
District Hospital Ernakulam,Paediatrics,Friday,17,12,0,0,37.1,0,77,31
District Hospital Ernakulam,Cardiology,Saturday,8,9,1,0,29.9,1,49,20
Taluk Hospital Thrissur,Paediatrics,Thursday,9,8,0,0,37.1,1,104,37
General Hospital Kollam,Orthopaedics,Saturday,11,8,1,0,30.1,1,112,52
District Hospital Ernakulam,Gynaecology,Saturday,15,3,1,0,34.1,0,59,30
Taluk Hospital Thrissur,Orthopaedics,Thursday,10,10,0,0,28.0,0,97,32
District Hospital Ernakulam,Cardiology,Tuesday,11,3,0,0,30.9,0,100,45
District Hospital Ernakulam,Orthopaedics,Tuesday,11,9,0,0,38.0,1,76,28
General Hospital Kollam,Cardiology,Friday,8,2,0,0,30.0,0,59,24
Taluk Hospital Thrissur,Cardiology,Thursday,12,6,0,0,29.0,1,86,41
General Hospital Kollam,Gynaecology,Friday,9,12,0,0,37.0,0,78,37
General Hospital Kollam,General OPD,Friday,17,2,0,0,31.9,0,52,14
Taluk Hospital Thrissur,General OPD,Tuesday,13,3,0,0,28.1,0,48,17
District Hospital Ernakulam,General OPD,Tuesday,13,6,0,0,25.9,0,48,19
General Hospital Kollam,Cardiology,Thursday,13,5,0,0,26.4,0,37,16
District Hospital Ernakulam,Orthopaedics,Saturday,11,3,1,1,34.5,0,111,49
General Hospital Kollam,Paediatrics,Thursday,14,8,0,0,31.2,0,80,23
General Hospital Kollam,General OPD,Saturday,16,2,1,0,28.7,0,60,23
General Hospital Kollam,Paediatrics,Monday,14,1,0,0,36.9,0,29,12
General Hospital Kollam,Gynaecology,Wednesday,14,7,0,0,33.8,0,66,31
District Hospital Ernakulam,General OPD,Wednesday,16,10,0,0,33.8,0,48,16
Taluk Hospital Thrissur,Gynaecology,Friday,15,12,0,0,36.4,0,70,32
General Hospital Kollam,Orthopaedics,Monday,8,9,0,0,29.5,0,76,25
Taluk Hospital Thrissur,Orthopaedics,Tuesday,9,9,0,0,28.4,1,100,34
General Hospital Kollam,Gynaecology,Friday,12,4,0,0,34.8,0,66,27
Taluk Hospital Thrissur,General OPD,Saturday,8,6,1,0,32.8,1,48,17
General Hospital Kollam,Paediatrics,Wednesday,17,12,0,0,30.3,0,35,14
Taluk Hospital Thrissur,Gynaecology,Saturday,16,10,1,0,28.9,0,53,24
Taluk Hospital Thrissur,Gynaecology,Saturday,10,12,1,0,31.3,0,80,29
Taluk Hospital Thrissur,Gynaecology,Tuesday,13,8,0,0,26.1,1,56,20
General Hospital Kollam,Paediatrics,Tuesday,15,4,0,0,25.1,0,63,23
Taluk Hospital Thrissur,Gynaecology,Friday,14,5,0,0,31.0,0,47,24
Taluk Hospital Thrissur,Paediatrics,Saturday,14,3,1,0,31.1,0,66,26
General Hospital Kollam,Gynaecology,Friday,9,12,0,0,30.4,0,52,24
Taluk Hospital Thrissur,Orthopaedics,Monday,17,7,0,0,25.7,1,32,12
General Hospital Kollam,Orthopaedics,Wednesday,13,5,0,0,30.8,0,70,24
Taluk Hospital Thrissur,Paediatrics,Monday,12,5,0,0,26.6,0,67,24
General Hospital Kollam,Gynaecology,Wednesday,9,1,0,0,30.7,0,69,30
District Hospital Ernakulam,Paediatrics,Thursday,17,3,0,1,25.9,0,80,28
District Hospital Ernakulam,Paediatrics,Tuesday,13,2,0,0,32.7,0,59,20
General Hospital Kollam,Paediatrics,Wednesday,16,1,0,0,36.5,0,67,22
General Hospital Kollam,Cardiology,Saturday,8,10,1,0,35.1,0,80,34
Taluk Hospital Thrissur,General OPD,Saturday,16,2,1,0,37.4,0,69,23
General Hospital Kollam,Gynaecology,Friday,11,8,0,0,36.6,1,119,52
General Hospital Kollam,Orthopaedics,Tuesday,11,12,0,0,36.4,0,78,26
Taluk Hospital Thrissur,Gynaecology,Wednesday,14,10,0,1,30.9,0,99,34
District Hospital Ernakulam,Cardiology,Thursday,8,9,0,0,29.3,1,36,17
District Hospital Ernakulam,Cardiology,Tuesday,12,2,0,0,28.3,0,46,23
General Hospital Kollam,Gynaecology,Wednesday,10,1,0,0,24.8,0,74,26
General Hospital Kollam,Paediatrics,Wednesday,12,7,0,0,36.6,1,45,18
Taluk Hospital Thrissur,Cardiology,Thursday,16,9,0,0,37.3,1,50,23
District Hospital Ernakulam,General OPD,Thursday,8,7,0,0,27.3,0,37,12
Taluk Hospital Thrissur,General OPD,Tuesday,16,11,0,0,25.8,0,56,17
General Hospital Kollam,Gynaecology,Tuesday,10,6,0,0,37.8,0,84,42
Taluk Hospital Thrissur,Paediatrics,Monday,8,8,0,0,32.7,0,30,8
District Hospital Ernakulam,Orthopaedics,Friday,12,11,0,0,38.0,0,73,30
Taluk Hospital Thrissur,Gynaecology,Wednesday,8,3,0,0,31.5,0,24,9
District Hospital Ernakulam,General OPD,Tuesday,16,5,0,0,27.0,0,52,20
District Hospital Ernakulam,Orthopaedics,Saturday,12,12,1,0,27.8,0,77,36
District Hospital Ernakulam,Cardiology,Thursday,17,6,0,0,36.8,1,89,33
District Hospital Ernakulam,General OPD,Monday,10,7,0,0,36.5,0,98,31
General Hospital Kollam,General OPD,Friday,8,11,0,1,33.4,0,62,24
District Hospital Ernakulam,Gynaecology,Wednesday,14,3,0,0,34.8,0,64,33
General Hospital Kollam,Paediatrics,Wednesday,11,8,0,0,27.1,1,77,30
Taluk Hospital Thrissur,Orthopaedics,Tuesday,9,10,0,0,28.2,0,95,33
District Hospital Ernakulam,Orthopaedics,Monday,12,8,0,0,33.9,1,42,20
Taluk Hospital Thrissur,Paediatrics,Monday,12,10,0,0,30.9,0,55,17
Taluk Hospital Thrissur,Gynaecology,Saturday,17,10,1,0,24.9,0,43,20
General Hospital Kollam,Orthopaedics,Friday,11,9,0,0,35.0,1,103,33
Taluk Hospital Thrissur,Gynaecology,Friday,12,11,0,0,36.4,0,20,10
Taluk Hospital Thrissur,General OPD,Wednesday,14,7,0,0,25.7,1,61,19
General Hospital Kollam,Cardiology,Monday,12,7,0,0,30.3,1,42,18
Taluk Hospital Thrissur,General OPD,Saturday,11,12,1,0,37.4,0,123,36
General Hospital Kollam,Orthopaedics,Wednesday,9,11,0,0,25.4,0,80,31
General Hospital Kollam,Gynaecology,Saturday,13,5,1,0,25.5,0,50,25
General Hospital Kollam,Orthopaedics,Friday,11,2,0,0,32.4,0,78,34
Taluk Hospital Thrissur,Paediatrics,Friday,9,2,0,0,36.8,0,74,25
Taluk Hospital Thrissur,General OPD,Tuesday,8,8,0,0,28.2,0,24,6
General Hospital Kollam,Gynaecology,Monday,12,7,0,0,25.3,0,34,16
Taluk Hospital Thrissur,Gynaecology,Monday,15,7,0,0,35.1,0,59,21
Taluk Hospital Thrissur,General OPD,Thursday,16,6,0,0,26.7,1,68,24
Taluk Hospital Thrissur,Cardiology,Friday,10,11,0,0,27.6,0,76,35
Taluk Hospital Thrissur,Paediatrics,Tuesday,11,3,0,0,24.6,0,58,19
District Hospital Ernakulam,Gynaecology,Saturday,13,5,1,0,36.4,0,84,31
District Hospital Ernakulam,Orthopaedics,Friday,13,5,0,0,37.6,0,53,21
Taluk Hospital Thrissur,Cardiology,Monday,11,9,0,0,35.7,0,77,33
General Hospital Kollam,Cardiology,Monday,13,4,0,0,30.7,0,64,35
Taluk Hospital Thrissur,Orthopaedics,Friday,17,6,0,0,28.2,1,36,14
General Hospital Kollam,Paediatrics,Tuesday,8,11,0,0,33.7,0,49,18
General Hospital Kollam,Paediatrics,Saturday,13,12,1,0,26.9,0,46,19
General Hospital Kollam,Orthopaedics,Monday,9,6,0,0,31.8,1,88,30
Taluk Hospital Thrissur,Orthopaedics,Monday,8,4,0,0,28.0,0,34,15
Taluk Hospital Thrissur,Cardiology,Wednesday,16,4,0,0,26.7,0,31,16
General Hospital Kollam,General OPD,Saturday,10,7,1,0,35.0,1,134,39
District Hospital Ernakulam,Cardiology,Wednesday,13,11,0,0,37.2,0,71,39
District Hospital Ernakulam,General OPD,Monday,10,3,0,0,26.7,0,84,26
District Hospital Ernakulam,Orthopaedics,Friday,14,11,0,0,36.9,0,68,28
General Hospital Kollam,Gynaecology,Wednesday,10,6,0,0,24.7,0,105,38
Taluk Hospital Thrissur,Gynaecology,Thursday,11,12,0,0,35.0,0,100,46
General Hospital Kollam,Cardiology,Friday,14,11,0,0,31.1,0,51,23
General Hospital Kollam,Orthopaedics,Saturday,13,9,1,0,30.8,0,65,23
District Hospital Ernakulam,Gynaecology,Saturday,8,4,1,0,36.5,0,63,31
District Hospital Ernakulam,Cardiology,Wednesday,14,7,0,0,26.2,0,36,17
General Hospital Kollam,General OPD,Wednesday,15,9,0,0,27.2,1,62,21
District Hospital Ernakulam,Paediatrics,Thursday,14,7,0,0,35.3,1,54,16
District Hospital Ernakulam,Cardiology,Wednesday,9,6,0,0,28.1,1,94,46
District Hospital Ernakulam,Cardiology,Monday,9,2,0,0,24.5,0,62,27
Taluk Hospital Thrissur,Orthopaedics,Wednesday,12,12,0,0,34.8,0,74,26
Taluk Hospital Thrissur,Gynaecology,Tuesday,16,5,0,0,34.8,0,38,18
District Hospital Ernakulam,Paediatrics,Friday,8,8,0,0,31.2,0,29,12
General Hospital Kollam,Cardiology,Saturday,11,8,1,0,31.2,0,113,52
District Hospital Ernakulam,Orthopaedics,Monday,13,4,0,1,34.8,0,84,32
District Hospital Ernakulam,Paediatrics,Friday,8,6,0,0,32.1,1,90,36
District Hospital Ernakulam,Orthopaedics,Wednesday,11,7,0,0,33.6,1,109,46
District Hospital Ernakulam,Orthopaedics,Friday,8,10,0,0,24.5,0,28,9
District Hospital Ernakulam,Gynaecology,Saturday,17,10,1,0,36.1,0,59,22
District Hospital Ernakulam,General OPD,Friday,14,4,0,0,25.5,0,56,22
Taluk Hospital Thrissur,Orthopaedics,Monday,10,2,0,0,31.7,0,52,23
Taluk Hospital Thrissur,Paediatrics,Monday,10,4,0,0,36.8,0,74,24
General Hospital Kollam,Orthopaedics,Saturday,16,2,1,0,24.8,0,68,21
District Hospital Ernakulam,Paediatrics,Thursday,10,2,0,0,31.5,0,80,32
District Hospital Ernakulam,Cardiology,Tuesday,11,5,0,0,35.5,0,92,42
Taluk Hospital Thrissur,Gynaecology,Wednesday,17,4,0,0,34.0,0,49,19
General Hospital Kollam,Cardiology,Thursday,9,7,0,0,35.3,1,118,56
District Hospital Ernakulam,Paediatrics,Thursday,17,1,0,0,25.3,0,61,25
District Hospital Ernakulam,Orthopaedics,Saturday,12,7,1,0,35.5,0,61,21
Taluk Hospital Thrissur,Paediatrics,Thursday,14,11,0,0,33.8,0,26,9
General Hospital Kollam,Cardiology,Tuesday,12,11,0,0,28.1,0,78,30
Taluk Hospital Thrissur,Cardiology,Thursday,14,9,0,0,37.9,1,36,16
District Hospital Ernakulam,Paediatrics,Thursday,10,5,0,0,31.1,0,79,23
Taluk Hospital Thrissur,Paediatrics,Thursday,13,12,0,0,36.0,0,45,13
District Hospital Ernakulam,General OPD,Saturday,10,6,1,0,34.5,1,79,21
Taluk Hospital Thrissur,Cardiology,Saturday,15,3,1,0,35.5,0,88,35
General Hospital Kollam,Gynaecology,Monday,10,5,0,0,31.5,0,75,28
Taluk Hospital Thrissur,General OPD,Saturday,12,3,1,0,29.0,0,48,17
Taluk Hospital Thrissur,Gynaecology,Tuesday,15,12,0,0,35.7,0,71,31
Taluk Hospital Thrissur,General OPD,Thursday,12,8,0,0,32.4,1,54,19
General Hospital Kollam,Orthopaedics,Tuesday,11,2,0,0,29.9,0,50,18
General Hospital Kollam,General OPD,Tuesday,9,11,0,0,34.1,0,52,16
General Hospital Kollam,Orthopaedics,Wednesday,16,11,0,0,32.7,0,79,32
District Hospital Ernakulam,General OPD,Tuesday,11,2,0,0,28.5,0,50,16
District Hospital Ernakulam,General OPD,Thursday,11,8,0,0,24.9,0,91,31
General Hospital Kollam,General OPD,Tuesday,14,5,0,0,32.4,0,26,9
Taluk Hospital Thrissur,Cardiology,Wednesday,9,10,0,0,37.7,0,94,41
Taluk Hospital Thrissur,Cardiology,Wednesday,10,11,0,0,36.4,0,70,38
Taluk Hospital Thrissur,Paediatrics,Monday,13,1,0,0,36.8,0,48,16
Taluk Hospital Thrissur,Cardiology,Friday,17,12,0,0,27.3,0,59,30
General Hospital Kollam,Orthopaedics,Tuesday,14,4,0,0,25.1,0,28,10
District Hospital Ernakulam,Cardiology,Tuesday,14,4,0,0,24.5,0,79,40
District Hospital Ernakulam,Orthopaedics,Tuesday,12,6,0,0,35.0,1,80,38
Taluk Hospital Thrissur,Orthopaedics,Monday,11,12,0,0,28.8,0,63,25
Taluk Hospital Thrissur,Cardiology,Saturday,11,10,1,0,29.3,0,85,34
Taluk Hospital Thrissur,General OPD,Monday,15,2,0,0,24.7,0,29,11
General Hospital Kollam,General OPD,Tuesday,17,9,0,0,35.1,1,62,17
Taluk Hospital Thrissur,Paediatrics,Wednesday,10,12,0,0,27.4,0,61,23
District Hospital Ernakulam,Orthopaedics,Friday,15,11,0,0,27.8,0,70,27
District Hospital Ernakulam,Paediatrics,Thursday,10,8,0,1,29.9,0,97,39
District Hospital Ernakulam,General OPD,Thursday,14,2,0,0,36.7,0,39,13
General Hospital Kollam,Gynaecology,Saturday,10,5,1,0,30.5,0,94,37
Taluk Hospital Thrissur,Gynaecology,Thursday,9,6,0,0,34.0,1,118,44
General Hospital Kollam,Gynaecology,Saturday,13,8,1,0,37.0,0,82,33
District Hospital Ernakulam,Orthopaedics,Saturday,17,2,1,0,36.4,0,93,31
Taluk Hospital Thrissur,Cardiology,Tuesday,14,5,0,0,36.8,0,66,28
Taluk Hospital Thrissur,Paediatrics,Saturday,13,12,1,0,33.1,0,94,33
General Hospital Kollam,Cardiology,Thursday,8,6,0,0,33.9,1,72,35
District Hospital Ernakulam,Gynaecology,Thursday,10,5,0,0,32.4,0,110,50
General Hospital Kollam,General OPD,Monday,9,11,0,0,36.8,0,75,27
General Hospital Kollam,Gynaecology,Tuesday,14,3,0,0,30.0,0,64,25
Taluk Hospital Thrissur,Paediatrics,Friday,12,12,0,0,34.5,0,79,31
General Hospital Kollam,General OPD,Saturday,17,6,1,0,26.0,0,94,34
Taluk Hospital Thrissur,Orthopaedics,Monday,10,8,0,0,25.4,0,76,30
Taluk Hospital Thrissur,Orthopaedics,Saturday,14,3,1,0,29.2,0,80,27
District Hospital Ernakulam,Cardiology,Friday,9,8,0,0,35.4,1,63,32
General Hospital Kollam,Orthopaedics,Thursday,15,11,0,0,25.5,0,60,20
District Hospital Ernakulam,General OPD,Thursday,9,5,0,0,28.8,0,87,25
District Hospital Ernakulam,General OPD,Monday,8,5,0,0,37.4,0,62,21
General Hospital Kollam,General OPD,Tuesday,16,1,0,0,32.4,0,68,20
District Hospital Ernakulam,Paediatrics,Wednesday,17,7,0,0,29.2,0,40,16
District Hospital Ernakulam,Paediatrics,Thursday,17,1,0,0,36.2,0,71,21
District Hospital Ernakulam,Paediatrics,Saturday,10,1,1,0,25.7,0,98,32
Taluk Hospital Thrissur,Cardiology,Wednesday,15,10,0,0,33.2,0,50,23
Taluk Hospital Thrissur,Cardiology,Monday,13,1,0,0,29.0,0,22,12
Taluk Hospital Thrissur,Orthopaedics,Saturday,15,4,1,0,30.8,0,82,34
General Hospital Kollam,Orthopaedics,Thursday,15,11,0,0,33.8,0,26,11
District Hospital Ernakulam,Gynaecology,Tuesday,10,9,0,0,35.0,0,52,19
General Hospital Kollam,Orthopaedics,Saturday,16,8,1,0,36.5,0,65,27
General Hospital Kollam,Cardiology,Tuesday,10,11,0,0,25.3,0,77,43
General Hospital Kollam,Cardiology,Wednesday,14,5,0,0,34.1,0,62,28
Taluk Hospital Thrissur,General OPD,Saturday,10,9,1,0,34.2,1,119,37
General Hospital Kollam,Gynaecology,Friday,9,11,0,0,29.3,0,95,45
Taluk Hospital Thrissur,Paediatrics,Saturday,16,7,1,0,27.3,1,63,19
General Hospital Kollam,Orthopaedics,Saturday,17,4,1,0,37.2,0,71,26
District Hospital Ernakulam,Paediatrics,Friday,8,5,0,0,32.3,0,32,13
District Hospital Ernakulam,Orthopaedics,Wednesday,10,9,0,0,32.4,1,85,27
District Hospital Ernakulam,Orthopaedics,Tuesday,12,4,0,0,33.5,0,29,12
General Hospital Kollam,General OPD,Friday,13,5,0,0,37.9,0,27,8
Taluk Hospital Thrissur,Gynaecology,Thursday,11,8,0,0,33.9,1,111,44
Taluk Hospital Thrissur,Cardiology,Saturday,11,12,1,0,24.7,0,120,62
District Hospital Ernakulam,Paediatrics,Wednesday,10,1,0,0,29.5,0,77,30
District Hospital Ernakulam,Paediatrics,Thursday,9,9,0,0,28.0,0,62,24
Taluk Hospital Thrissur,Paediatrics,Monday,10,6,0,0,35.1,0,53,22
Taluk Hospital Thrissur,Orthopaedics,Thursday,10,10,0,0,30.2,0,80,29
General Hospital Kollam,Cardiology,Tuesday,11,12,0,0,24.1,0,96,51
General Hospital Kollam,Cardiology,Thursday,14,11,0,0,26.4,0,23,8
District Hospital Ernakulam,Cardiology,Monday,9,9,0,0,28.7,1,69,33
District Hospital Ernakulam,Cardiology,Monday,9,4,0,0,30.8,0,94,45
General Hospital Kollam,Paediatrics,Saturday,9,8,1,0,35.5,1,115,44
District Hospital Ernakulam,General OPD,Monday,9,2,0,0,30.8,0,92,35
General Hospital Kollam,General OPD,Friday,17,10,0,0,27.8,0,67,18
Taluk Hospital Thrissur,Cardiology,Thursday,15,11,0,0,30.1,0,56,22
District Hospital Ernakulam,General OPD,Saturday,16,3,1,0,35.4,0,36,11
Taluk Hospital Thrissur,Gynaecology,Thursday,9,9,0,0,32.2,0,100,45
General Hospital Kollam,General OPD,Tuesday,17,12,0,0,24.1,0,48,17
General Hospital Kollam,General OPD,Tuesday,17,4,0,0,26.3,0,55,16
General Hospital Kollam,General OPD,Monday,16,5,0,0,37.5,0,30,9
Taluk Hospital Thrissur,General OPD,Tuesday,12,1,0,0,36.7,0,38,13
District Hospital Ernakulam,Cardiology,Friday,15,12,0,0,31.3,0,42,20
Taluk Hospital Thrissur,Cardiology,Saturday,9,11,1,0,24.6,0,67,27
District Hospital Ernakulam,Cardiology,Tuesday,17,9,0,1,32.3,1,96,46
General Hospital Kollam,Gynaecology,Wednesday,12,7,0,0,36.7,1,35,17
Taluk Hospital Thrissur,Paediatrics,Saturday,10,9,1,1,25.0,0,125,49
General Hospital Kollam,Orthopaedics,Friday,16,10,0,0,29.9,0,29,10
District Hospital Ernakulam,Paediatrics,Monday,17,4,0,0,27.8,0,54,16
Taluk Hospital Thrissur,Paediatrics,Monday,13,11,0,0,29.1,0,41,16
General Hospital Kollam,Cardiology,Wednesday,8,2,0,0,37.7,0,34,15
General Hospital Kollam,General OPD,Tuesday,16,12,0,0,32.2,0,71,23
Taluk Hospital Thrissur,Orthopaedics,Saturday,17,5,1,0,27.8,0,41,19
General Hospital Kollam,Orthopaedics,Thursday,10,6,0,0,34.4,0,84,34
District Hospital Ernakulam,Paediatrics,Friday,10,5,0,0,33.6,0,95,30
General Hospital Kollam,Cardiology,Thursday,17,12,0,0,24.7,0,66,32
District Hospital Ernakulam,Cardiology,Saturday,17,7,1,0,30.4,1,67,34
Taluk Hospital Thrissur,Orthopaedics,Wednesday,14,9,0,0,36.3,0,39,16
General Hospital Kollam,Orthopaedics,Thursday,13,2,0,0,25.1,0,66,23
General Hospital Kollam,Cardiology,Friday,8,2,0,0,28.0,0,79,36
General Hospital Kollam,Paediatrics,Saturday,16,12,1,0,30.7,0,67,26
Taluk Hospital Thrissur,Gynaecology,Saturday,9,7,1,0,32.6,0,112,38
District Hospital Ernakulam,Gynaecology,Saturday,13,4,1,0,33.3,0,93,45
Taluk Hospital Thrissur,Gynaecology,Monday,17,8,0,0,33.4,0,53,26
General Hospital Kollam,General OPD,Wednesday,10,9,0,0,37.3,1,84,24
General Hospital Kollam,Orthopaedics,Saturday,11,9,1,0,34.7,1,94,37
District Hospital Ernakulam,Cardiology,Monday,17,7,0,0,36.9,0,61,28
General Hospital Kollam,Paediatrics,Friday,15,1,0,0,24.1,0,49,16
District Hospital Ernakulam,General OPD,Monday,13,12,0,0,29.6,0,20,5
District Hospital Ernakulam,Cardiology,Monday,16,9,0,0,29.8,0,20,8
Taluk Hospital Thrissur,Orthopaedics,Tuesday,15,7,0,0,28.2,1,41,16
